Station,Index,Dwell_time,Runtime,Is_transfer_station,Connected_depot
BG,0,30,180,,6
HQY,1,30,120,,
CCQ,2,30,120,,
CDG,3,30,180,,
CISS,4,30,120,,
XDYT,5,30,180,,
GZF,6,30,120,1,
LHQ,7,30,240,,
LLQ,8,30,120,1,
XJ,9,30,120,,
NW,10,30,180,,
FTRS,11,30,180,,
SJM,12,30,120,,
JJM,13,30,120,,
CQ,14,30,240,,
JMX,15,30,120,,
JMD,16,30,120,,
DHM,17,30,120,,
SLZ,18,30,180,,
SJZ,19,30,600,1,4
CSS,20,30,120,,
FZS,21,30,180,,
SLH,22,30,120,,
PJY,23,30,120,,
JS,24,30,120,,
SJ,25,30,180,,
GM,26,30,60,1,
JTXZ,27,30,120,,
HJL,28,30,120,,
TJH,29,30,120,,
AEC,30,30,120,,
LMQ,31,30,180,,
SYQ,32,30,120,,
TYG,33,30,180,,
SYJ,34,30,180,1,
HXXJNK,35,30,120,1,
AZM,36,30,120,,
BTC,37,30,120,,
JDM,38,30,120,,
MDY,39,30,120,,
XTC,40,30,180,,
ZCLU,41,30,60,1,
ZCLI,42,30,180,,
HDHZ,43,30,60,,
SZJ,44,30,120,,
BG,0,30,,,6
